x,y,value
59,3,0.151862464
60,3,0.338108883
61,3,0.432664756
62,3,0.214899713
63,3,0.418338109
64,3,0.280802292
65,3,0.47277937
66,3,0.363896848
67,3,0.787965616
68,3,0.232091691
69,3,0.561604585
70,3,0.404011461
71,3,0.429799427
72,3,0.521489971
73,3,0.338108883
74,3,0.458452722
75,3,0.934097421
76,3,0.507163324
77,3,0.249283668
78,3,0.320916905
79,3,0.260744986
80,3,0.343839542
81,3,0.171919771
82,3,0.320916905
83,3,0.452722063
84,3,0.249283668
85,3,0.406876791
86,3,0.106017192
87,3,0
88,3,0.191977077
89,3,0.277936963
90,3,0.785100287
91,3,0.444126074
92,3,0.446991404
93,3,0.46991404
94,3,0.787965616
95,3,0.515759312
96,3,0.541547278
97,3,0.593123209
98,3,0.375358166
99,3,0.796561605
100,3,0.742120344
101,3,0.99713467
102,3,0.727793696
103,3,0.747851003
104,3,0.905444126
105,3,0.575931232
106,3,0.217765043
107,3,0.713467049
108,3,0.578796562
109,3,0.578796562
110,3,0.40974212
111,3,0.664756447
112,3,0.853868195
113,3,0.200573066
114,3,0.320916905
115,3,0.467048711
116,3,0.492836676
117,3,0.031518625
118,3,0.303724928
119,3,0.189111748
120,3,0.034383954
121,3,0.157593123
